,種目,組,選手,記録,着順,風･備考,gender,competition_name,place,date,heatnum,rank,round,record_h,record_m,record_s,record_cs,wind,electric_timing,official,DNS,decathron,comment,reason
24,400m,1,高橋　知也,"49""31",4着,4位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,4,決勝,0,0,49,31,0.0,1,1,0,0,4位入賞,-
25,800m,1,小林　裕平,"1'58""99",2着,q,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,2,予選,0,1,58,99,0.0,1,1,0,0,q,-
26,800m,2,箱崎　喜郎,"2'00""01",1着,Q,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,1,予選,0,2,0,1,0.0,1,1,0,0,Q,-
27,800m,3,細川　和穂,"2'00""61",3着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,3,予選,0,2,0,61,0.0,1,1,0,0,-,-
28,800m,1,箱崎　喜郎,"2'00""39",4着,4位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,4,決勝,0,2,0,39,0.0,1,1,0,0,4位入賞,-
29,800m,1,小林　裕平,"2'01""02",6着,6位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,6,決勝,0,2,1,2,0.0,1,1,0,0,6位入賞,-
30,800m,2,河合　正貴,"2'00""92",1着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,1,OP,0,2,0,92,0.0,1,1,0,0,-,-
31,800m,2,芝江　柾葵,"2'00""95",2着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,2,OP,0,2,0,95,0.0,1,1,0,0,-,-
32,800m,2,中村　勇太,"2'03""64",6着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,6,OP,0,2,3,64,0.0,1,1,0,0,-,-
33,800m,3,笠木　浩平,"2'01""62",3着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,3,OP,0,2,1,62,0.0,1,1,0,0,-,-
34,800m,4,小島　俊平,"2'02""82",1着,PB,0,第64回東京地区国公立対校戦,町田,2016-05-29,4,1,OP,0,2,2,82,0.0,1,1,0,0,PB,-
35,800m,5,佐々木　亮一,DNS,-,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,5,0,OP,0,0,0,0,0.0,1,1,1,0,-,DNS
36,1500m,1,松井　将器,"3'54""15",1着,PB/総合1位/歴代2位,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,1,決勝,0,3,54,15,0.0,1,1,0,0,PB/総合1位/歴代2位,-
